UID,Friends,Followee,Like Records,Groups
0,"[40, 27, 96, 85, 35, 43, 99, 30, 16, 92, 61, 48, 86, 42, 45, 13, 57, 51, 54, 88, 28, 49, 84, 56, 39, 55, 4, 5, 6, 7, 8, 10, 15, 16, 19, 21, 22, 23, 25, 27, 28, 29, 30, 35, 36, 39, 40, 43, 45, 47, 51, 52, 53, 55, 57, 58, 59, 60, 68, 69, 71, 73, 74, 75, 78, 80, 82, 89, 95, 97, 98, 99]","[62, 9, 71, 70, 58, 5, 32, 88, 92, 67, 23, 19, 35, 38, 89, 68, 79, 94, 44, 76, 77, 27, 25, 39, 36, 46, 55, 14, 37, 47, 28, 78, 74, 8, 80, 83, 20, 53, 18, 10, 4, 26, 95, 84, 40, 81, 33, 3, 24, 49, 52, 66, 86, 29, 60, 96, 69, 16, 93, 59, 45, 61, 65, 48, 17, 82, 2, 99, 43, 21, 41, 90, 11, 72, 13, 57, 54, 6, 1, 12, 15, 42, 87, 63, 50, 97, 64, 31, 0, 75, 91, 30, 34, 98, 22]","['(100,62)', '(86,10)', '(90,40)', '(52,3)', '(35,81)', '(60,35)', '(53,94)', '(18,69)', '(4,23)', '(71,38)', '(80,86)', '(63,55)', '(35,98)', '(45,76)', '(54,72)', '(17,24)', '(18,50)', '(86,41)', '(67,99)', '(49,96)', '(7,92)', '(95,69)', '(48,2)', '(94,68)', '(46,12)', '(66,92)', '(4,50)', '(54,3)', '(68,40)', '(71,83)', '(35,31)', '(97,1)', '(84,48)', '(31,82)', '(13,36)', '(54,55)', '(28,0)', '(77,1)', '(87,48)', '(8,11)', '(46,99)', '(82,78)', '(6,9)', '(77,61)', '(80,5)', '(87,59)', '(5,48)', '(11,62)', '(84,5)', '(32,12)', '(34,47)', '(22,90)', '(75,1)', '(48,7)', '(52,40)', '(57,57)', '(1,63)', '(14,36)', '(66,5)', '(4,61)', '(92,66)', '(11,65)', '(29,54)', '(53,53)', '(74,59)', '(84,27)', '(60,70)', '(53,71)', '(50,16)', '(95,47)', '(27,2)', '(10,99)', '(30,68)', '(23,31)', '(19,87)', '(31,36)', '(7,79)', '(15,57)', '(22,100)', '(56,39)', '(56,93)', '(50,41)', '(36,5)', '(60,98)', '(76,39)', '(85,7)']","[0, 1, 1, 1, 0]"
1,"[63, 90, 7, 2, 40, 45, 23, 70, 55, 88, 91, 10, 39, 65, 25, 68, 11, 98, 93, 44, 60, 92, 17, 1, 1, 36, 78, 67, 77, 14, 49, 75, 84, 83, 37, 27, 69, 64, 79, 42, 8, 95, 72, 57, 6, 48, 29, 82, 38, 80, 32, 30, 24, 61, 33, 94, 85, 58, 15, 3, 6, 7, 8, 9, 12, 14, 15, 19, 22, 23, 25, 26, 27, 28, 29, 32, 33, 36, 39, 47, 51, 54, 55, 57, 58, 59, 60, 61, 66, 68, 71, 74, 75, 76, 80, 82, 83, 85, 87, 89, 91, 93, 95, 97, 99]","[71, 53, 36, 44, 1, 3, 21, 32, 55, 94, 92, 33, 74, 41, 42, 95, 14, 62, 40, 31, 83, 46, 99, 5, 88, 75, 20, 16, 24, 2, 63, 29, 15, 17, 27, 57, 72, 73, 49, 19, 58, 68, 86, 59, 26, 60, 82, 70, 84, 85, 77, 87, 61, 89, 81, 48, 78, 34, 67, 18, 52, 30, 22, 38, 54, 51, 96, 35, 25, 43, 69, 79, 56, 91, 65, 98]","['(19,68)', '(5,76)', '(69,76)', '(0,0)', '(42,54)', '(20,17)', '(15,78)', '(21,85)', '(56,32)', '(92,89)', '(28,33)', '(40,26)', '(11,70)', '(14,16)', '(34,90)', '(5,24)', '(88,20)', '(86,92)', '(15,55)', '(20,38)', '(87,15)', '(89,40)', '(79,42)', '(87,70)', '(5,67)', '(98,25)', '(71,86)', '(80,11)']","[0, 1, 0, 0, 1]"
2,"[1, 70, 58, 99, 24, 89, 3, 33, 80, 19, 94, 10, 59, 54, 90, 79, 3, 4, 5, 6, 7, 8, 9, 12, 15, 16, 21, 22, 23, 25, 27, 28, 29, 32, 33, 35, 36, 39, 40, 46, 47, 51, 52, 54, 55, 57, 59, 60, 64, 65, 68, 69, 73, 74, 76, 80, 82, 83, 86, 87, 89, 90, 97, 98, 99]","[70, 32, 88, 59, 16, 5, 61, 50, 64, 21, 18, 44, 11, 4, 35, 26, 72, 41, 20, 34, 23, 60, 90, 80, 52, 25, 8, 86, 57, 73, 95, 75, 96, 65, 37, 58, 68, 40, 7, 15, 71, 33, 19]","['(55,78)', '(23,74)', '(26,40)', '(5,45)', '(4,96)', '(72,87)', '(21,47)', '(83,36)', '(56,32)', '(25,73)', '(4,88)', '(79,40)', '(33,60)', '(38,67)', '(12,60)', '(28,53)', '(76,11)', '(18,5)', '(72,7)', '(59,11)', '(40,51)', '(15,48)', '(49,88)', '(90,49)', '(74,29)', '(92,83)', '(87,9)', '(43,66)', '(40,30)', '(34,19)', '(70,79)', '(77,34)', '(47,59)', '(49,26)', '(89,89)', '(20,48)', '(76,21)', '(12,14)', '(78,34)', '(78,38)', '(46,60)', '(46,36)', '(43,82)', '(20,52)', '(41,14)', '(23,41)', '(87,27)', '(52,65)', '(50,78)', '(76,22)', '(54,90)', '(14,72)', '(20,41)', '(14,70)', '(87,37)', '(97,24)', '(88,100)', '(99,38)', '(18,29)', '(56,80)', '(64,23)', '(19,6)', '(96,100)', '(64,95)', '(46,28)', '(21,51)']","[0, 1, 1, 0, 1]"
3,"[2, 19, 81, 54, 66, 86, 90, 62, 37, 85, 13, 5, 51, 30, 64, 61, 95, 8, 43, 72, 80, 3, 3, 73, 21, 98, 20, 7, 58, 25, 23, 34, 87, 38, 46, 4, 35, 84, 32, 39, 53, 45, 29, 60, 76, 26, 65, 82, 27, 16, 17, 97, 42, 70, 67, 40, 57, 89, 79, 36, 96, 2, 18, 12, 44, 6, 11, 15, 22, 88, 41, 31, 47, 93, 92, 9, 75, 69, 50, 74, 49, 10, 28, 63, 59, 91, 94, 48, 24, 33, 56, 68, 83, 99, 1, 55, 14, 71, 52, 6, 8, 15, 23, 25, 27, 28, 29, 32, 33, 34, 35, 36, 37, 39, 40, 42, 46, 47, 48, 51, 52, 53, 54, 55, 57, 58, 59, 60, 64, 65, 68, 76, 77, 80, 82, 86, 87, 91, 93, 95, 97, 99]","[6, 76, 96, 22, 60, 41, 80, 11, 23, 55]","['(30,98)', '(98,7)', '(84,3)', '(58,40)', '(80,81)', '(90,39)', '(58,28)', '(38,59)', '(58,87)']","[1, 1, 0, 1, 1]"
4,"[3, 80, 74, 38, 2, 4, 4, 27, 63, 69, 35, 57, 92, 13, 10, 78, 89, 0, 24, 34, 83, 93, 45, 6, 7, 8, 11, 15, 18, 19, 22, 23, 25, 26, 27, 29, 31, 33, 36, 39, 42, 43, 46, 47, 48, 51, 54, 56, 57, 60, 61, 64, 65, 66, 68, 69, 71, 73, 74, 75, 78, 79, 80, 82, 83, 84, 85, 87, 91, 95, 97, 99]","[42, 51, 36, 76, 77, 64, 21, 20, 67, 1, 69, 92, 45, 83, 2, 6, 81, 22, 30, 23, 16, 48, 96, 0, 66, 34, 90, 52, 15]","['(44,66)', '(11,33)', '(5,37)', '(19,4)', '(21,47)', '(36,16)', '(31,64)', '(48,22)', '(2,54)', '(69,68)', '(12,10)', '(84,11)', '(42,52)', '(22,57)', '(3,29)', '(83,64)', '(61,14)', '(38,86)', '(98,53)', '(99,10)', '(52,91)', '(8,47)', '(58,96)', '(11,48)', '(52,79)', '(58,67)', '(46,53)', '(77,90)', '(99,4)', '(5,71)', '(20,87)', '(68,5)', '(68,38)', '(65,62)', '(44,70)', '(14,72)', '(68,88)', '(80,52)', '(44,73)', '(96,20)', '(93,35)', '(76,51)', '(11,51)', '(85,78)']","[1, 1, 1, 1, 1]"
5,"[3, 57, 59, 48, 76, 96, 87, 77, 91, 12, 33, 7, 85, 23, 35, 15, 41, 98, 50, 40, 55, 95, 71, 94, 75, 64, 5, 5, 90, 34, 11, 81, 32, 67, 42, 39, 14, 79, 2, 92, 83, 78, 17, 60, 8, 0, 45, 69, 97, 65, 36, 38, 30, 74, 25, 53, 6, 18, 28, 16, 70, 49, 63, 88, 51, 54, 46, 56, 52, 37, 62, 8, 11, 15, 19, 21, 22, 23, 25, 27, 28, 29, 32, 33, 36, 39, 46, 47, 51, 53, 54, 56, 57, 58, 59, 60, 65, 68, 71, 74, 77, 78, 80, 82, 83, 86, 89, 91, 93, 95, 97, 98]","[22, 9]","['(18,13)', '(37,32)', '(56,70)', '(13,21)', '(4,58)', '(55,51)', '(64,82)', '(73,57)', '(69,4)', '(5,49)', '(33,96)', '(87,23)', '(63,25)', '(96,73)', '(90,18)', '(63,53)', '(17,94)', '(1,57)', '(63,58)', '(38,45)', '(9,71)', '(4,30)', '(38,31)', '(77,57)', '(50,71)', '(6,85)', '(47,86)', '(21,16)', '(73,87)', '(10,72)', '(58,48)', '(80,46)', '(63,42)', '(28,34)', '(33,98)']","[1, 1, 1, 0, 1]"
6,"[1, 3, 5, 9, 66, 65, 79, 3, 95, 23, 90, 32, 14, 33, 44, 80, 67, 28, 0, 81, 69, 17, 45, 41, 84, 92, 47, 48, 99, 89, 87, 1, 13, 71, 6, 6, 22, 25, 49, 40, 37, 2, 4, 68, 96, 43, 93, 50, 53, 76, 61, 42, 75, 74, 63, 20, 10, 27, 72, 85, 26, 51, 21, 98, 11, 57, 62, 58, 86, 19, 54, 82, 55, 91, 59, 97, 7, 78, 70, 8, 34, 94, 88, 30, 52, 24, 31, 7, 8, 9, 14, 15, 19, 21, 22, 23, 26, 27, 29, 32, 33, 36, 39, 40, 46, 47, 48, 51, 54, 55, 56, 57, 59, 60, 62, 64, 65, 66, 68, 71, 74, 75, 76, 78, 79, 80, 82, 84, 93, 95, 97, 98, 99]","[73, 16, 65, 15, 93, 53, 33, 56, 23, 0, 98, 91, 44, 41, 79, 76, 71, 99, 69, 4, 66, 52, 57, 42, 8, 46, 95, 24, 86, 88, 34, 40, 94, 31, 70, 27, 32, 30, 22, 75, 78, 7]","['(73,4)', '(6,93)', '(100,11)', '(61,84)', '(0,12)', '(7,0)', '(56,4)', '(96,0)', '(31,60)', '(90,60)', '(97,42)', '(64,3)', '(61,63)', '(7,2)', '(9,30)', '(6,2)', '(39,62)', '(76,78)', '(79,81)', '(97,100)', '(70,37)', '(51,0)', '(67,80)', '(98,62)', '(29,26)', '(10,24)', '(90,38)', '(86,41)', '(61,57)', '(9,41)', '(58,67)', '(47,78)', '(75,1)', '(5,60)', '(55,100)', '(38,60)', '(49,85)', '(72,14)', '(44,94)', '(70,81)', '(22,17)', '(63,16)', '(31,50)', '(97,56)', '(19,47)', '(72,89)', '(6,89)', '(16,63)', '(24,93)', '(79,33)']","[0, 1, 1, 0, 0]"
7,"[1, 3, 5, 6, 49, 38, 57, 6, 79, 81, 43, 89, 25, 80, 33, 4, 15, 84, 73, 86, 0, 71, 24, 10, 40, 50, 1, 22, 95, 90, 74, 67, 48, 7, 7, 2, 55, 87, 28, 8, 10, 15, 19, 25, 27, 28, 29, 31, 32, 35, 36, 37, 39, 43, 44, 45, 46, 47, 49, 51, 54, 55, 57, 59, 62, 63, 64, 66, 68, 71, 73, 75, 76, 77, 78, 80, 81, 82, 87, 95, 97, 99]","[96, 4, 81, 15, 50, 86, 56, 21, 46, 64, 72, 28, 54, 40, 74, 47, 9, 82, 24, 39, 57, 73, 67, 48, 78, 36]","['(32,92)', '(41,6)', '(17,43)', '(94,7)', '(89,80)', '(57,50)', '(95,38)', '(66,18)', '(72,3)', '(21,64)', '(55,75)', '(97,47)', '(41,23)', '(39,33)', '(2,32)', '(0,92)', '(96,44)', '(18,51)', '(27,49)', '(0,100)', '(18,76)', '(75,40)', '(4,45)', '(86,19)', '(73,12)', '(70,61)', '(60,32)', '(29,55)', '(10,17)', '(98,35)', '(49,86)', '(91,1)']","[1, 1, 1, 1, 1]"
8,"[1, 3, 5, 6, 86, 89, 47, 20, 51, 97, 15, 80, 27, 7, 34, 19, 68, 84, 95, 6, 96, 48, 60, 46, 64, 24, 8, 8, 39, 66, 92, 4, 90, 75, 11, 94, 69, 29, 30, 62, 31, 76, 50, 3, 82, 63, 77, 12, 99, 40, 41, 81, 56, 5, 25, 87, 23, 49, 28, 32, 61, 91, 0, 1, 79, 22, 98, 73, 33, 9, 2, 72, 71, 85, 57, 58, 35, 67, 37, 16, 42, 14, 54, 93, 10, 44, 45, 14, 15, 16, 19, 21, 22, 23, 25, 26, 27, 28, 29, 32, 34, 36, 39, 40, 43, 45, 47, 51, 54, 55, 56, 57, 58, 59, 60, 65, 68, 69, 71, 74, 75, 77, 80, 82, 83, 85, 86, 93, 95, 97, 99]","[52, 29, 81, 31, 32, 24, 36, 38, 53, 47, 48, 11, 3, 4, 86, 63, 35, 6, 80, 16, 74, 98, 65, 0, 99, 90, 69, 64, 26, 78, 23, 88, 27, 96, 25, 54, 43, 83, 28, 12, 22, 8, 71, 10, 70, 60, 76, 21, 93, 30, 14, 95, 51, 77, 50, 92, 34, 7, 13, 18, 45, 75, 87, 19, 97, 89, 56, 72, 59, 82, 46, 44, 42, 40, 37, 9, 73, 15, 84, 58, 57, 85, 67]","['(63,75)', '(87,33)', '(58,8)', '(41,1)', '(57,28)', '(80,5)', '(15,22)', '(58,12)', '(12,95)', '(23,61)', '(28,66)', '(68,28)', '(40,69)', '(4,1)', '(87,58)', '(4,16)', '(97,58)', '(16,55)', '(27,49)', '(6,86)', '(68,33)', '(13,53)', '(86,24)', '(26,53)', '(21,14)', '(70,93)', '(20,12)', '(74,14)', '(73,96)', '(85,7)', '(79,12)']","[0, 1, 0, 0, 1]"
9,"[3, 6, 8, 35, 21, 64, 17, 95, 63, 44, 96, 92, 61, 83, 2, 32, 98, 9, 9, 68, 18, 36, 71, 16, 77, 87, 62, 99, 6, 46, 22, 85, 88, 49, 1, 37, 52, 65, 19, 14, 15, 19, 23, 25, 26, 27, 28, 29, 30, 32, 36, 39, 43, 46, 47, 50, 51, 53, 55, 57, 58, 59, 60, 64, 65, 68, 71, 73, 74, 76, 77, 80, 82, 91, 93, 95, 97, 98]","[2, 41, 51, 10, 55, 18, 99, 48, 24, 64, 6, 66, 14, 83, 93, 73, 33, 82, 22, 90, 70, 9, 69, 53, 49, 67, 62, 11, 46, 74, 32, 25, 17, 15, 39, 4, 57, 37, 79, 13, 23, 34, 42, 92, 80, 12, 30, 21, 16, 77, 50]","['(86,8)', '(40,68)', '(99,46)', '(32,25)', '(54,92)', '(70,81)']","[1, 1, 1, 0, 1]"
